
New Data Set:
1,89
2,28
3,21
4,25
5,24
6,21
7,3
8,19
9,24
10,18
11,28
12,24
13,25
14,16
15,20
16,30
17,25
18,19
19,22
20,23
21,21
22,24
23,3
24,20
25,20
26,25
27,24
28,24
29,21
30,19
31,9
32,24
33,22
34,17
35,28
36,23
37,24
38,19
39,20
40,17
41,14
42,12
43,25
44,14
45,35
46,24
47,21
48,25
49,24
50,21
51,27
52,17
53,25
54,23
55,25
56,25
57,24
58,25
59,22
60,20
61,29
62,23
63,23
64,20
65,4
66,22
67,25
68,24
69,19
70,24
71,24
72,23
73,25
74,23
75,16
76,30
77,26
78,17
79,27
80,23
81,23
82,19
83,25
84,21
85,21
86,24
87,26
88,21
89,23
90,26
91,21
92,23
93,25
94,19
95,29
96,21
97,27
98,25
99,15
100,28
101,25
102,24
103,1
104,23
105,24
106,21
107,25
108,25
109,25
110,24
111,23
112,25
113,23
114,23
115,25
116,24
117,19
118,27
119,25
120,22
121,20
122,30
123,22
124,22
125,28
126,23
127,25
128,23
129,25
130,23
131,23
132,24
133,25
134,23
135,17
136,20
137,18
138,8
139,23
140,7
141,21
142,19
143,31
144,24
145,22
146,23
147,18
148,28
149,25
150,24
151,18
152,23
153,31
154,25
155,21
156,26
157,23
158,24
159,20
160,25
161,21
162,26
163,25
164,22
165,24
166,20
167,29
168,19
169,21
170,19
171,22
172,35
173,23
174,21
175,21
176,4
177,16
178,0
179,0
