
New Data Set:
1,138
2,24
3,19
4,25
5,22
6,21
7,29
8,24
9,23
10,25
11,24
12,24
13,23
14,24
15,15
16,23
17,26
18,30
19,23
20,20
21,24
22,24
23,23
24,23
25,23
26,23
27,24
28,18
29,23
30,23
31,26
32,24
33,23
34,25
35,24
36,19
37,27
38,24
39,25
40,23
41,24
42,24
43,24
44,25
45,23
46,24
47,22
48,25
49,23
50,24
51,24
52,25
53,21
54,23
55,26
56,24
57,24
58,24
59,24
60,23
61,23
62,25
63,23
64,24
65,25
66,24
67,21
68,22
69,24
70,22
71,24
72,21
73,24
74,23
75,24
76,23
77,22
78,4
79,22
80,23
81,24
82,25
83,17
84,29
85,26
86,24
87,24
88,24
89,24
90,25
91,23
92,24
93,22
94,23
95,25
96,24
97,21
98,23
99,25
100,25
101,23
102,23
103,24
104,24
105,22
106,25
107,23
108,20
109,4
110,24
111,23
112,25
113,12
